title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url
Domino's Pizza,2.7,395,1972 Flatbush Ave,Brooklyn,New York,US,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(718) 692-2000,Pizza delivery,https://www.google.com/maps/search/?api=1&query=Domino's%20Pizza&query_place_id=ChIJDVmWJ6hEwokReTV_YW_-E3k
Domino's Pizza,3.9,332,3624 Broadway,New York,New York,US,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(212) 926-1234,Pizza delivery,https://www.google.com/maps/search/?api=1&query=Domino's%20Pizza&query_place_id=ChIJu1-n7GL2wokR7eHIIlfiPk4
Domino's Pizza,2.4,471,1772a Ralph Ave,Brooklyn,New York,US,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(718) 763-7007,Pizza delivery,https://www.google.com/maps/search/?api=1&query=Domino's%20Pizza&query_place_id=ChIJr6dhRrFcwokR7UowCvy1Dzk
Domino's Pizza,3.7,551,736 W 181st St,New York,New York,US,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(212) 781-3700,Pizza delivery,https://www.google.com/maps/search/?api=1&query=Domino's%20Pizza&query_place_id=ChIJ0UGFkaD2wokRQNa7F7wuojQ
Domino's Pizza,4.6,85,86-15A Rockaway Beach Blvd,Rockaway Beach,New York,US,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(718) 791-9900,Pizza delivery,https://www.google.com/maps/search/?api=1&query=Domino's%20Pizza&query_place_id=ChIJcb4X5EhpwokR-zwZ_Tbb2mM
Domino's Pizza,3.9,429,4797 Broadway,New York,New York,US,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(212) 567-8600,Pizza delivery,https://www.google.com/maps/search/?api=1&query=Domino's%20Pizza&query_place_id=ChIJWUGhFPjzwokRRHJByPYgues
Domino's Pizza,2.9,551,3514 Nostrand Ave,Brooklyn,New York,US,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(718) 769-3111,Pizza delivery,https://www.google.com/maps/search/?api=1&query=Domino's%20Pizza&query_place_id=ChIJu8p2f4NEwokRgv80aKrKRwA
Domino's Pizza,2.5,419,946 Southern Blvd,Bronx,New York,US,https://www.dominos.com/en/?redirect=homepage&utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(929) 207-0202,Pizza delivery,https://www.google.com/maps/search/?api=1&query=Domino's%20Pizza&query_place_id=ChIJHWZ8RQD1wokRUe_0tx_P1n8
Domino's Pizza,2.6,547,2048 Rockaway Pkwy,Brooklyn,New York,US,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(718) 531-0210,Pizza delivery,https://www.google.com/maps/search/?api=1&query=Domino's%20Pizza&query_place_id=ChIJo3k8-tdcwokRz1FBxNfvO-E
Domino's Pizza,2.4,875,41 E 167th St,Bronx,New York,US,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(718) 293-2170,Pizza delivery,https://www.google.com/maps/search/?api=1&query=Domino's%20Pizza&query_place_id=ChIJd73EfDr0wokRQnrQIdFI7Rg
Domino's Pizza,2.4,608,835 Clarkson Ave,Brooklyn,New York,US,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(718) 773-7444,Pizza delivery,https://www.google.com/maps/search/?api=1&query=Domino's%20Pizza&query_place_id=ChIJfaghhZxcwokR_snRiiWS6B4
Domino's Pizza,3.7,595,409 W 125th St,New York,New York,US,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(212) 280-3200,Pizza delivery,https://www.google.com/maps/search/?api=1&query=Domino's%20Pizza&query_place_id=ChIJ06XraGv2wokRx0VQxJ76yYM
Domino's Pizza,3.5,418,1988 Amsterdam Ave,New York,New York,US,https://www.dominos.com/en/?redirect=homepage&utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(212) 923-3030,Pizza delivery,https://www.google.com/maps/search/?api=1&query=Domino's%20Pizza&query_place_id=ChIJmTXX9oP2wokR2MvyxYOfF-8
